,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
3420,CUBATÃO DE CIMA - VERTEDOURO,80320000,1,13.2,80,CUBATÃO,SÃO PAULO,EMAE,-23.9667,-46.5667,1932/12/01,1937/03/31,6,2.0,3,50.0,POINT (-5183781.331923132 -2749350.8840877987)
3421,PASSAREUVA - VERTEDOURO,80330000,1,12.5,80,SÃO BERNARDO DO CAM,SÃO PAULO,EMAE,-23.8972,-46.5519,1926/09/01,1938/04/30,13,13.7,0,100.0,POINT (-5182133.803459393 -2740886.475800754)
3422,MARCOLINO (CSIC),80340000,1,4.7,80,SÃO BERNARDO DO CAM,SÃO PAULO,EMAE,-23.8503,-46.5119,1926/10/01,1939/11/30,14,8.3,4,71.4,POINT (-5177681.02382766 -2735177.093751004)
3423,PONTE PRETA ,80360000,1,167.0,80,CUBATÃO,SÃO PAULO,DAEE-SP,-23.8833,-46.45,1966/11/03,1969/06/30,4,4.5,1,75.0,POINT (-5170790.347347558 -2739194.1404637857)
3424,PEREQUE DE BAIXO,80410000,1,91.8,80,CUBATÃO,SÃO PAULO,EMAE,-23.85,-46.4167,1926/09/01,1947/08/31,22,2.4,16,27.3,POINT (-5167083.408304141 -2735140.5798384105)
3425,MOJI,80450000,1,19.0,80,CUBATÃO,SÃO PAULO,DAEE-SP,-23.8225,-46.3611,1972/08/01,1974/10/31,3,5.5,0,100.0,POINT (-5160894.044616035 -2731793.829991235)
3426,USINA RIO DOS CAMPOS,80800000,1,142.0,80,SÃO PAULO,SÃO PAULO,DAEE-SP,-23.9619,-46.6583,1953/02/06,1973/10/29,21,1.4,16,23.8,POINT (-5193978.197279796 -2748766.14529389)
3427,USINA CAPIVARI (DAEE),80850000,1,150.0,80,SÃO PAULO,SÃO PAULO,EMAE,-23.9667,-46.65,1940/09/01,1958/04/30,19,26.4,9,52.6,POINT (-5193054.245506212 -2749350.8840877987)
3428,FAZENDA ÁGUA QUENTE,80860000,1,264.0,80,ITANHAÉM,SÃO PAULO,DAEE-SP,-24.0744,-46.78,1980/12/12,1990/06/28,11,0.9,6,45.5,POINT (-5207525.779309338 -2762476.6974985236)
3429,FAZENDA ITAOCA  ,80870000,1,97.0,80,MONGAGUÁ,SÃO PAULO,DAEE-SP,-24.0864,-46.7172,1980/08/15,1986/12/02,7,8.9,1,85.7,POINT (-5200534.91528752 -2763939.865315798)
3430,ITANHAÉM,80900000,1,92400.0,80,ITANHAÉM,SÃO PAULO,DAEE-SP,-24.1811,-46.7953,1980/10/01,1993/06/30,14,10.5,8,42.9,POINT (-5209228.967518475 -2775491.5118569774)
